escala,versao,threads,schedule,chunk,arquivos,bytes,repeticao,tempo_s
forte,openmp,2,dynamic,16,1024,105775104,4,0.133527
forte,openmp,2,dynamic,16,1024,105775104,5,0.138227
forte,openmp,2,dynamic,16,1024,105775104,6,0.138926
forte,openmp,2,dynamic,16,1024,105775104,7,0.140565
forte,openmp,2,dynamic,16,1024,105775104,8,0.134590
forte,openmp,2,dynamic,16,1024,105775104,9,0.139528
forte,openmp,2,dynamic,16,1024,105775104,10,0.130765
forte,openmp,2,dynamic,16,1024,105775104,11,0.129505
forte,openmp,2,dynamic,16,1024,105775104,12,0.138331
forte,openmp,2,dynamic,16,1024,105775104,13,0.135188
forte,openmp,2,dynamic,16,1024,105775104,14,0.136212
forte,openmp,2,dynamic,16,1024,105775104,15,0.135257
forte,openmp,2,guided,1,1024,105775104,1,0.140712
forte,openmp,2,guided,1,1024,105775104,2,0.138174
forte,openmp,2,guided,1,1024,105775104,3,0.134002
forte,openmp,2,guided,1,1024,105775104,4,0.140590
forte,openmp,2,guided,1,1024,105775104,5,0.134195
forte,openmp,2,guided,1,1024,105775104,6,0.133206
forte,openmp,2,guided,1,1024,105775104,7,0.130825
forte,openmp,2,guided,1,1024,105775104,8,0.137367
forte,openmp,2,guided,1,1024,105775104,9,0.135639
forte,openmp,2,guided,1,1024,105775104,10,0.134354
forte,openmp,2,guided,1,1024,105775104,11,0.131884
forte,openmp,2,guided,1,1024,105775104,12,0.131676
forte,openmp,2,guided,1,1024,105775104,13,0.102573
forte,openmp,2,guided,1,1024,105775104,14,0.127474
forte,openmp,2,guided,1,1024,105775104,15,0.122843
forte,openmp,2,guided,4,1024,105775104,1,0.104190
forte,openmp,2,guided,4,1024,105775104,2,0.103175
forte,openmp,2,guided,4,1024,105775104,3,0.102193
forte,openmp,2,guided,4,1024,105775104,4,0.103063
forte,openmp,2,guided,4,1024,105775104,5,0.106702
forte,openmp,2,guided,4,1024,105775104,6,0.104910
forte,openmp,2,guided,4,1024,105775104,7,0.093857
forte,openmp,2,guided,4,1024,105775104,8,0.094341
forte,openmp,2,guided,4,1024,105775104,9,0.094541
forte,openmp,2,guided,4,1024,105775104,10,0.103936
forte,openmp,2,guided,4,1024,105775104,11,0.103860
forte,openmp,2,guided,4,1024,105775104,12,0.105180
forte,openmp,2,guided,4,1024,105775104,13,0.105271
